gaia_mag,detected,distance_px,source
9.922704696655273,True,1.39,rdls
11.548874855041504,True,3.18,rdls
10.807149887084961,True,1.15,rdls
7.511546611785889,True,0.63,rdls
16.524742126464844,False,,rdls
5.833229064941406,False,,rdls
4.963927745819092,False,,rdls
7.5201921463012695,False,,rdls
2.9466283321380615,True,0.78,rdls
9.19732666015625,False,,rdls
8.53341007232666,False,,rdls
7.123813152313232,False,,rdls
8.952709197998047,False,,rdls
8.116494178771973,False,,rdls
8.09476089477539,False,,rdls
6.320143699645996,False,,rdls
4.9676008224487305,False,,rdls
4.834993839263916,True,0.59,rdls
6.37481164932251,True,0.57,rdls
6.4859113693237305,True,1.17,rdls
7.429707050323486,True,1.34,rdls
13.252717971801758,True,2.77,rdls
16.007848739624023,False,,rdls
6.335691452026367,False,,rdls
7.921289920806885,False,,rdls
8.415966987609863,False,,rdls
13.504531860351562,False,,rdls
9.169041633605957,False,,rdls
8.12459659576416,False,,rdls
8.282819747924805,False,,rdls
7.695529460906982,False,,rdls
8.609307289123535,False,,rdls
9.227090835571289,False,,rdls
9.567303657531738,False,,rdls
9.463334083557129,True,0.85,rdls
8.15174388885498,True,0.70,rdls
11.471395492553711,False,,rdls
9.922704696655273,True,1.24,rdls
7.6225810050964355,True,0.75,rdls
11.773330688476562,False,,rdls
10.035845756530762,True,1.14,rdls
11.342488288879395,True,1.09,rdls
10.84292984008789,True,0.71,rdls
11.434045791625977,True,1.25,rdls
10.206544876098633,True,0.87,rdls
14.236506462097168,False,,rdls
7.538193702697754,True,1.39,rdls
8.717833518981934,True,0.83,rdls
8.444967269897461,True,0.62,rdls
7.220285415649414,True,2.20,rdls
10.254707336425781,True,1.36,wcs
19.581012725830078,False,,rdls
10.50173568725586,True,0.91,rdls
10.178776741027832,True,0.53,rdls
8.421073913574219,True,0.74,rdls
8.822331428527832,True,0.67,rdls
8.911090850830078,False,,rdls
8.970832824707031,False,,rdls
9.926605224609375,False,,rdls
4.680750846862793,True,1.21,rdls
10.787735939025879,False,,rdls
9.545701026916504,True,0.81,rdls
11.7450532913208,False,,rdls
9.916679382324219,True,0.87,rdls
10.611013412475586,True,0.92,rdls
11.312041282653809,False,,rdls
10.42012882232666,True,0.97,rdls
8.672874450683594,True,0.97,rdls
8.808319091796875,False,,rdls
5.928206920623779,True,0.69,rdls
7.538193702697754,True,1.51,rdls
8.717833518981934,True,0.65,rdls
17.86426544189453,True,2.45,rdls
10.410752296447754,True,1.57,rdls
11.15987491607666,True,1.40,rdls
11.509611129760742,True,0.87,rdls
9.208711624145508,True,1.24,rdls
10.191585540771484,True,0.95,rdls
11.940936088562012,False,,rdls
8.957880020141602,True,0.93,rdls
8.957880020141602,True,0.93,rdls
17.105077743530273,True,0.92,rdls
11.23233413696289,False,,rdls
9.463334083557129,True,0.79,rdls
8.15174388885498,True,0.42,rdls
11.471395492553711,False,,rdls
9.922704696655273,True,1.19,rdls
10.958669662475586,True,1.57,rdls
11.23233413696289,True,1.21,rdls
9.463334083557129,True,0.66,rdls
11.471395492553711,True,1.10,rdls
9.922704696655273,True,1.28,rdls
9.480026245117188,False,,rdls
8.70546817779541,True,0.85,rdls
8.822510719299316,True,0.73,rdls
8.592177391052246,True,0.83,rdls
